"LET (MeV-cm2/g)"	"Integral Flux (particles/m2-s-sr)"
10208	186.95
10327	183.02
10447.5	179.29
10569.4	175.58
10692.6	171.76
10817.4	167.88
10943.5	164.3
11071.2	160.76
11200.3	156.93
11331	153.31
11463.1	149.72
11596.8	145.9
11732.1	141.94
11868.9	137.47
12007.4	133.62
12147.4	130.6
12289.1	127.73
12432.5	124.58
12577.5	121.69
12724.2	118.73
12872.6	115.64
13022.8	112.73
13174.7	109.5
13328.3	106.68
13483.8	103.63
13641.1	100.73
13800.2	97.658
13961.2	94.515
14124	90.994
14288.7	86.62
14455.4	84.544
14624	82.555
14794.6	80.591
14967.2	78.675
15141.7	76.692
15318.4	74.864
15497	72.831
15677.8	71.022
15860.7	69.098
16045.7	67.189
16232.8	65.346
16422.2	63.31
16613.7	61.183
16807.5	59.567
17003.5	57.966
17201.9	56.401
17402.5	54.905
17605.5	53.416
17810.9	51.896
18018.6	50.399
18228.8	48.955
18441.4	47.523
18656.5	46.103
18874.1	44.691
19094.3	43.301
19317	41.929
19542.3	40.568
19770.2	39.226
20000.8	37.895
20234.1	36.575
20470.1	35.266
20708.9	33.964
20950.5	32.656
21194.8	31.279
21442.1	30.011
21692.2	28.889
21945.2	27.778
22201.2	26.634
22460.1	25.563
22722.1	24.434
22987.1	23.369
23255.2	22.291
23526.5	21.196
23800.9	20.139
24078.5	19.086
24359.4	18.033
24643.5	16.97
24931	15.906
25221.8	14.842
25516	13.755
25813.6	12.621
26114.7	11.504
26419.3	10.377
26727.4	9.1812
27039.2	7.9002
27354.6	6.5159
27673.6	4.8736
27996.4	2.021
28323	0.41321
28653.3	0.36161
28987.6	0.29994
29325.7	0.22385
29667.7	0.18198
30013.8	0.12948
30363.9	0.041446
30718	0.019142
31076.3	0.01739
31438.8	0.015204
31805.5	0.013433
32176.5	0.011788
32551.8	0.0092866
32931.5	0.0078116
33315.6	0.0073428
33704.2	0.0067992
34097.4	0.00631
34495.1	0.0058369
34897.4	0.0051997
35304.5	0.0048379
35716.3	0.0045778
36132.9	0.0042935
36554.3	0.0040102
36980.7	0.003659
37412.1	0.0033053
37848.4	0.0031359
38289.9	0.0029462
38736.5	0.0027637
39188.3	0.0025557
39645.4	0.0023105
40107.9	0.0022076
40575.7	0.0020925
41049	0.001986
41527.8	0.0018636
42012.2	0.0017448
42502.2	0.0016788
42998	0.0016048
43499.5	0.0015399
44006.9	0.0014611
44520.2	0.0014064
45039.5	0.0013603
45564.8	0.0013141
46096.3	0.0012641
46634	0.0012167
47177.9	0.0011781
47728.2	0.0011387
48284.9	0.0010974
48848.1	0.0010553
49417.9	0.0010176
49994.3	0.00097905
50577.4	0.00094025
51167.4	0.00090052
51764.2	0.00086346
52368	0.00082512
52978.8	0.00078542
53596.8	0.00074611
54221.9	0.00070797
54854.4	0.00066711
55494.2	0.00061928
56141.5	0.00058168
56796.3	0.00054384
57458.8	0.00049807
58129	0.00045407
58807.1	0.00042362
59493	0.00039194
60186.9	0.00035355
60889	0.00033299
61599.2	0.00031221
62317.7	0.00028545
63044.6	0.00027026
63779.9	0.00025835
64523.9	0.00024608
65276.5	0.00023585
66037.9	0.00022635
66808.1	0.00021606
