"LET (MeV-cm2/g)"	"Integral Flux (particles/m2-s-sr)"
45564.8	2.7278e-07
46096.3	2.6193e-07
46634	2.5161e-07
47177.9	2.4221e-07
47728.2	2.3295e-07
48284.9	2.2373e-07
48848.1	2.1462e-07
49417.9	2.0601e-07
49994.3	1.9743e-07
50577.4	1.89e-07
51167.4	1.8058e-07
51764.2	1.7307e-07
52368	1.6546e-07
52978.8	1.5796e-07
53596.8	1.5073e-07
54221.9	1.4402e-07
54854.4	1.3723e-07
55494.2	1.3015e-07
56141.5	1.2394e-07
56796.3	1.178e-07
57458.8	1.1142e-07
58129	1.053e-07
58807.1	1.0006e-07
59493	9.4899e-08
60186.9	8.9548e-08
60889	8.4735e-08
61599.2	7.979e-08
62317.7	7.4174e-08
63044.6	7.0046e-08
63779.9	6.6364e-08
64523.9	6.2621e-08
65276.5	5.9215e-08
66037.9	5.5927e-08
66808.1	5.2548e-08
67587.4	4.9482e-08
68375.7	4.6536e-08
69173.3	4.3353e-08
69980.1	4.0607e-08
70796.4	3.7956e-08
71622.2	3.5166e-08
72457.6	3.2767e-08
73302.7	3.0337e-08
74157.8	2.7912e-08
75022.7	2.5805e-08
75897.8	2.374e-08
76783.1	2.1864e-08
77678.7	2.0056e-08
78584.8	1.8162e-08
79501.4	1.6551e-08
80428.7	1.4823e-08
81366.8	1.3252e-08
82315.9	1.1698e-08
83276.1	1.0044e-08
84247.4	8.5399e-09
85230.1	6.8383e-09
86224.2	5.3855e-09
87229.9	3.9725e-09
88247.4	3.0119e-09
89276.7	2.283e-09
90318.1	1.6139e-09
91371.5	9.067e-10
92437.3	2.4666e-10
93515.5	1.8973e-10
94606.3	1.7085e-10
95709.8	1.5146e-10
96826.2	1.31e-10
97955.6	1.0857e-10
99098.1	8.2279e-11
100254	4.4753e-11
101423	6.2356e-14
